je	я
tu	ты
il	он
elle	она
nous	мы
vous	вы
ils	они(м)
elles	они(ж)
ce	это
cet	это(м)
cette	это(ж)
ces	эти
le	опред. артикль (м)
la	опред. артикль (ж)
les	опред. артикль (мн. число)
un	неопред. артикль (м)
uns	неопред. артикль (м мн. число)
une	неопред. артикль (ж)
unes	неопред. артикль (ж мн. число)
des	неопред. артикль (мн. число)
ne	не
pas	не (после глагола)
mon	мой
ma	моя
mes	мои
ton	твой
ta	твоя
tes	твои
le	его, ее (м)
la	его, ее (ж)
les	его, ее (мн. число)
notre	наш, наша (м+ж)
nos	наши (мн. число)
votre	ваш
votr	ваша
vos	ваши
leur	их (ед. число)
leurs	их (мн. число)
voir	видеть
avoir	иметь
voulvoir	хотеть
devoir	быть должным
pouvoir	мочь
être	быть
suis	я есть
es	ты есть
est	он/она/оно есть
sommes	мы есть
êtes	вы есть
sont	они есть
pardon	извините
où	где
métro	метро (м)
attendez	подождите
boulevard	улица (м)
fontaine	фонтан (ж)
là-bas	там (внизу)
d'accord	согласен
s'il vous plaît	пожалуйста (вам)
mais	но
bien	хорошо
sûr	конечно
sûre	уверена (ж)
voilà	там
voici	здесь
pont	мост (м)
joli	замечательное
gauche	левый
à gauche	налево
alors	следовательно
aussi	тоже
touriste	туристка
comment	как?
comprends
laine	кожа
en laine	из кожи
cinq	5
heure	час
comprends	понимаю (я)
il pleut	идет дождь
pleuvoir	идти о дожде
dehors	снаружи
désirez	хотите (вы)
deux	2
café	кафе, кофе
croissant	круассан
monsieur	господин
messieurs	господа
chaud	горячий
chaude	горячая
anglais	английский
anglaise	английская
français	французский
française	французская
allemand	немецкий
allemande	немецкая
hollandais	нидерландский
hollandaise	нидерландская
Londres	Лондон
gentil	добрый
gentille	добрая
tout	всё
autre	другой
beurre	масло
beurré	масляный, в масле
beurrée	масляная, в масле
excuser	извинять
dépêcher	торопить
toujours	всегда
achat	покупка
fromage	сыр
dommage	несчастье!
ordinaire	обычный
chaque	каждый
jour	день
d'aujourd'hui	сегодня
donnez	дайте
père	отец
mère	мать
maison	дом (ж)
bureau	офис
voulez	(вы) желаете
parler	говорить
dérangez	беспокоить
rentre	возвращается (он)
normalement	обычно
avant	перед, до
huit	8
huitième	8-й
sept	7
chercher	искать (прав. гл)
adresse	адрес (ж)
rue	улица
dans	на, в
merci beaucoup	большое спасибо
au revoir	до встречи
de rien	не стоит
soir	вечер
demie	половина
espagnol	испанский
sais	знаю (я)
connais	быть знакомым (я)
à la radio	по радио
rien d'intéressant	ничего интересного
vais	(я) собираюсь
lire	читать
église	церковь
même	тот самый
dit	говорит (он)
tout à l'heure	сейчас, скоро
répond	отвечает
laisser	позволить
terminer	закончить
je vous en prie	я вас прошу
qu'est-ce que	что (в предложении)?
toilette	туалет
est-ce que	(вопр. слово)
chanteuse	певица
aimer	нравиться, любить
assez	довольно
belle	красивая
voix	голос
magasin	магазин
cher	дорогой
chère	дорогая
prix	цена
très	довольно
raisonnable	разумный
trois	3
verre	стакан
bière	пиво
vin	вино
blanc	светлый
blanche	светлая
bleu	синий
bleue	синяя
noir	темный
noire	темная
feu	огонь
fumer	курить
désolé	сожалеющий
désolée	сожалеющая
briquet	брикет
paquet	пачка
plaquette	кусок
rond	круглый
ronde	круглая
haut	высокий
haute	высокая
court	короткий
intelligent	умный
arbre	дерево
voiture	машина
vert	зеленый
livre	книга
table	стол
bête	ужасный(я)
piège à rats	ловушка на крыс
par exemple	например
moderne	современная
grand	большой
déjà	уже
bœuf	говядина
manger	есть
sent	(он) пахнет
faim	голод
soif	жажда
non plus	также (в отриц)
prendre	взять
faites	(вы) делаете
regarder	смотреть
prenez	(вы) берете
choisissez 	выбираете (вы)
série	последовательность
pas encore	еще не
résultat	результат
numéro	номер
gagner	выиграть
jouer	играть
choisis	(я) выбираю
et alors	а дальше?
deux	2
treize	13
quatorze	14
vingt	20
trente	30
trente-deux	32
passe-temps	времяпрепровождение
jeu	игра
oublier	забывать
vient de	приходит из
sud	юг
partout	особенно
un peu de	немного (чего)
espace	простр-во
joueur	игрок
parc	парк
place	площадь
marché	рынок
qui	который(ая)
demander	требовать
habileté	умение
concentration	концетрация
passion de	увлечение к
gens	люди
à chaque moment	в каждом моменте
pratiquent	занимаются
parlent	говорят (о)
quand	когда
d'abord	вначале
se lever	подниматься
lentement	медленно
salle de bains	ванная
se laver	мыть (что-то)
le visage	лицо
pour	для
eau	вода
froide	холодная
se réveiller	проснуться (разбудить себя)
se doucher	принимать душ
se raser	бриться
se brosser les dents	чистить зубы
commencer à	начинать (+предлог)
s'habiller	одеваться
met	надевает
chemise	рубашка
cravate	галстук (ж)
gris foncé	темно-серый
chaussette	носок
chaussure	туфля
imperméable	плащ (м)
serviette	портфель
descend	спускается
pain	хлеб
boulanger	булочник
non seulement	не только
gâteaux	пироги
avoir besoin de	нуждаться в
viande	мясо
boucher	мясник
volaille	птица(мясо)
avoir envie de	желать (+пр)
jambon	ветчина (м)
pâté	паштет
saucisson	колбаса
charcutier	свиной мясник
lait	молоко (м)
crème	сливки (ж)
œuf	яйцо (м)
