どっさり	много, куча
ぽかぽか	тепло
ひんやり	прохладно
しっとり	приятно влажно
ずっしり	тяжело
すれすれ	с трудом
ほやほや	только что сделанный, с пылу с жару
ぽろぽろ	легко ломаемый
すんなり	гладко
じっくり	спокойно
しみじみ	проникновенно
つくづく	внимательно
ざっと	вкратце, бегло
ずばり	открыто
すんなり	беспроблемно
おっとり	спокойный (хар-р)
のびのび	почувствовать свободу
きびきび	энергично
くよくよ	с хандрой
ひやひや	с холодом, с опаской
すれすれに	близко, почти касаясь
器用	умелый
卑怯	трусливый
要領	умение
生意気	нахальный
強引	насильственный
やかましい	придирчивый
ずうずうしい	нахальный
しゃれ	шутка
けなす	поносить
みっともない	неприличный вид одежда
しゃぶる	облизывать
にもたれる	быть тяжелым о пище
採点	оценивать (экзамен)
うけもつ	вести (занятия)
大まか	широко, в общих чертах (прил)
近々	скоро
いはんを取り締まる	контролировать (штрафы)
さしかかる	приближаться к (ни)
備える	быть готовым (к происшествию)
土砂崩れ	оползень
氾濫	выйти из берегов
救済	материально помогать
復旧	быть восстановленным (сооружение после аварии)
直ちに	сразу же
