괜찮다	To be okay
고프다	голодный
배고프다	голодный
같다	похожий; равный; подобны
비슷하다	похожий
가깝다	близкий
멀다	дальний 갈 길이 ~
가볍다	легкий (вес)
무겁다	тяжёлый; весомый; важный; серьёзный
힘들다	трудный
밝다	светлый; ясный; яркий; острый; жизнерадостный; счастливый;
배부르다	ссытый
고맙다	благодарный
반갑다	приятный; радостный; радушный
많다	многочисленный
적다	немногочисленный; небольшой; маленький경험이 ~
맑다	ясный; чистый; прозрачный; правильный
맛있다	вкусный
맛없다	невкусный
덥다	горячий (воздух/погода)
뜨겁다	горячий (на ощупь)
따뜻하다	умеренный; теплый
시원하다	прохладный; освежающий; почувствовать облегчение
춥다	холодный (воздух/погода)
차갑다	холодный; ледяной; хладнокровный (touch)
차다	холодный; прохладный; промозглый 날씨가 ~
높다	высокий
낮다	низкий
늦다	опоздавший
밤늦다	It is late at night
넓다	широкий
좁다	узкий
길다	длинный
짧다	короткий
깨끗하다	чистый; чистый и свежий; аккуратный
재미없다	скучный
재미있다	интересный, забавный
작다	маленький
크다	большой
귀엽다	милый
예쁘다	милый; симпатичный
아름답다	прекрасный
곱다	красивый гладкий 아름답다
어떠하다	To be how
어떻다	how,what.. do you think of
이렇다	Like this
그렇다	That is right or  yes.
저렇다	Such a thing as that
어렵다	трудный; затруднительный; сложный
쉽다	лёгкий; простой; возможно;
손쉽다	Be easy, simple
아프다	больной
아니다	To not be
싶다	хотеть; желать; видимо
좋다	To be good
싫다	To not like, to hate
나쁘다	плохой
싸다	дешевый 집값이 ~
비싸다	дорогой
값싸다	Cheap or  low-priced
슬프다	печальный; грустный; горестный
빠르다	быстрый
느리다	медленный; медлительный; пологий
이러하다	Be this way, be like follows
그러하다	такой, в таком случае
즐겁다	довольный; радостный; приятный
조용하다	тихий; едва слышный; заглушённый
시끄럽다	шумный; сутолочный; надоедливый
바쁘다	очень занятой; очень спешный
없다	не быть; не иметься
다르다	другой; иной; отличный
이르다	Be early, premature 빠르다
굵다	толстый; крупный; большой
대단하다	большой; громадный; огромный
커다랗다	To be very big/large
괴롭다	мучительный
고르다	равный; единообразный; одинаковый 차이가 없다
걱정스럽다	беспокойный
가난하다	бедный
가늘다	тонкий; стройный; узкий
가득하다	наполненный до краев; полный
불쌍하다	жалкий, несчастный
부끄럽다	испытывать чувство стыда
부드럽다	мягкий (на ощупь); мелкий (о песке, муке и т.п.); нежный
부럽다	испытывать зависть
바르다	прямой; неизогнутый; правильный; правдивый; честный;  굽은 데가 없다
올바르다	честный; прямой
옳다	правильный; правый; верный
밉다	противный; отвратительный; омерзительный; ненавистный
무섭다	страшный; лютый
멋있다	привлекательный; модный
더럽다	грязный; нечистый
답답하다	душный; скучный; тоскливый
놀랍다	wonderful; marvelous; To be surprising
낡다	старый; устарелый; ветхий
새롭다	новый
젊다	молодой
깊다	глубокий; глухой; крепкий; густой
기쁘다	рад; радостный
그립다	любимый; дорогой; милый
그만하다	Be about the same or  be neither better nor worse
궁금하다	волноваться; тревожиться; беспокоиться; чувствовать голод  be curious about
자랑스럽다	To be proud
잘생기다	To be handsome
못생기다	некрасивый; уродливы
부르다	сытый, опухший, вздутый 배가 ~
어둡다	тёмный; мрачный; плохой; несведущий в чём; плохо осведомлённый о чем
어리다	To be very young, juvenile 나이가 적다
얇다	тонкий; плоский; узкий
얕다	мелкий; неглубокий; поверхностный
엷다	тонкий; светлый; бледный
짙다	очень густой; глубокий
안되다	To refuse to accept 마음이 언짢다
