가게	Store
가까이	Close
가난	Poor
가로	Width or  breadth ~와 세로
가루	Powder or  flour; meal 분필 ~
가르침	Teaching or  an instruction
가뭄	A drought
가방	Bag ~을 메다
가슴	Chest
가슴속	one’s heart feelings
가운데	In the middle
가을	Autumn or  fall
가죽	The skin or  hide or  leather
가지	One of the kind or  a sort 한 ~
가지	Eggplant ~를 치다
간	A salty taste or  saltiness 음식의 ~을 보다
갈비	The ribs
감자	Potato
값	Price
강아지	Puppy
갖가지	A variety of or  all sorts
개	A dog 동물
개구리	Frog
개나리	A forsythia or  a golden-bell tree
개미	Ant 곤충
걔	Child 그 아이
거	That thing 것
거기	There (location)
거리	Materials 반찬~
거리	A road or  street 길~
거울	1) mirror  2) a pattern or  model or  exemplar
거짓	Fabrication or  fiction
거짓말	A lie or  falsehood
거품	Bubble
걱정	Worry
건너	The other or  opposite side
걷기	Walking
걸음	Walking or  stepping or  a step
것	A thing or  an object
겉	The outer surface
게	A crab 동물
겨울	Winter
겨울철	The winter season
겨자	Mustard
곁	Neighborhood or  vicinity
고개	The nape of the neck ~를 돌리다
고개	the peak or crest (of a hill) ~ 너머
고구마	Sweet potato
고기	Meat
고무신	Rubber shoes
고양이	Kitten
고장	A district or  producing area 지역
고추	Red pepper
고춧가루	Red pepper powder
골목	A side street or  alley
골목길	An alley
골짜기	A valley or  gorge
골치	Worry or  anxiety
곰	Bear 동물
곳	Place
곳곳	Everywhere
공	Ball 축구~
과일	A fruit
괜히	In vain or  useless or  fruitless, for a stupid reason
괴로움	Trouble or  annoyance or  distress
구경	An enjoyable sight or spectacle
구두	Shoes or  boots
구름	A cloud or  the clouds
구멍	A hole
구석	1) a corner  2) an out of the way place
구석구석	Every nook and corner
국	Soup or  broth 음식
국물	soup or broth or gravy
국수	Noodles
군데	A place or spot
귀	Ear
귓속	The inner ear
그	He
그	That
그거	That thing
그것	That thing
그곳	That place
그날	That day or  that same day
그놈	That person or  that guy
그늘	1) shade 2)parental prodection
그다음	Next
그대	You or  thou
그대로	Like that
그동안	During that time
그때	Then or  at that time
그래	So or  yes or  that’s right
그래도	All the same 그리하여도
그래야	And so or  and then 그리하여야
그러다	and so, and then, well
그러다	and so, and then, well
그런	Such a
그럼	Interjection: “yeh or  that’s right”
그렇지	So it is or  that is right
그루	1) a root  2) stubble
그릇	A vessel or  receptacle
그리움	Yearning or  affection
그림	A picture
그림자	A shadow or  a sillheoute or  an image
그분	That person (respectful)
그사이	The while or  the meantime
그이	That person or  he or him / she or her
그쪽	Those people
그해	That year
글	words, a verse
글쎄	Now or  well or  let me see
글쎄요	Now or  well or  let me see
글쓰기	Writing
글씨	1) Handwriting 2) a letter or an ideograph or a character
금	A line (draw) ~을 긋다
기둥	A pillar
기름	Oil or  fat
기쁨	Joy or  delight
기운	Strength or  might (the strength you feel you have on that particular day)
기침	Coughing
길	Road 도로
길가	The roadside
길거리	A street
길이	Length or  extent
김	Seaweed, laver 해초
김	1) Steam 2) scent, aroma ~이 서리다
김밥	Roll of rice and vegetables
김치	Spicy cabbage
김치찌개	Spicy cabbage soup
깊이	Depth
까닭	Reason
까치	Magpie
깍두기	Sliced white radish kimchee
깨달음	Realization
깨소금	Powdered sesame mixed with salt
껍질	Skin or  nutshell
꼬리	Tail
꼬마	A dwarf
꼭대기	The top
꼴	Shape or  form or  appearance 모양새
꽃	Flower
꽃씨	Flower seed
꽃잎	A petal
꾸중	Scolding, a rebuke
꿀	Honey or  nectar
꿈	A Dream
꿈속	In a dream
끈	A string or  a cord
끝	The end
끼	A meal or  a repast 끼니
나	Me
나들이	Going out, an outing ; making a short visit to sb or somewhere
나라	A country
나름	Depending on
나머지	The rest, the remainder ; as a result of the excess of, as a result
나무	Tree
나물	Herbs, wild greens
나뭇가지	A tree branch
나뭇잎	Tree leaves
나비	Butterfly
나이	Age
나중	The last, the latter part
낚시	Fishing
낚시꾼	An angler
낚싯대	A fishing rod
날	Day 어느 ~
날개	The wings
날씨	Weather
날짜	Date
남	Others, other people
낮	Daytime
낱말	A word 단어
내	Inside 內
냄비	A pot
냄새	Smell
냇물	A stream, brook
너	You
너머	Beyond, on the other side
너희	You guys
넉	The fourth ~ 달
네	You
네	Yes
네거리	Crossroads
넷	4
넷째	Fourth
녀석	Fellow
노래	Song
노랫소리	A singing voice
노트	A note note
논	A rice field
놀이	Play, game
놀이터	Playground
놈	A fellow
높이	Height (noun)
누구	Who
누나	Older sister
눈	Eyes 신체의 일부
눈	Snow ~이 내리다
눈가	The eye rims
눈길	Line of vision ~을 피하다
눈물	A tear
눈빛	The glitter of one’s eyes ~이 매섭다
눈썹	The eyebrow
눈앞	Before one’s eyes
느낌	Touch, feel
늑대	Wolf 동물
늦가을	Late autumn
다른	Different
다리	Leg 신체의 일부
다음	Next
다이어트	Diet
다툼	A quarrel
단골	Custom, connection
단맛	A sweet taste
단추	A button
달	The moon
달	The month
달걀	An egg
달리기	A run, a spin
달빛	Moonlight
닭	Chicken
닭고기	Chicken meat for eating
담	A wall, fence ~을 쌓다
담배	Tobacco
담요	A blanket
당근	A carrot
대	One piece 담배 한 ~
대낮	Broad daylight
대로	Like, according to
대여섯	About five or six
더위	The heat
덩어리	A lump, a cluster
데	Place, point, instance
데이트	Date date
도둑	A thief, a burglar
도마	A chopping board
도시락	Lunchbox lunch
도움	Help
도움말	Helping words
돈	Money
두세	Two or three (months)
두어	About two, a couple
뒷모습	The features of the back side
듯	To be like something
듯싶다	To be like something, i guess
딸아이	Daughter
땅속	In the soil
마누라	one’s wife
마늘	Garlic
마당	An instance, case
마당	Garden
마디	A word, a tune, a song,  a paragraph
마련	planning, making arrangements ; provisions, preparations
마루	A wooden floor, floor, flooring ~를 닦다
마리	Number of animals
마무리	Finish, completion
마을	Town
마음	Heart
마음가짐	Mental attitude
마음속	Deep in one’s heart
마음씨	Disposition, nature
마중	Meeting, reception
마지막	Last, final
마찬가지	The same
마흔	40
막걸리	A slightly bitter soju drink
막내	The lastborn
만	As many as, full, complete 십 년 ~에
만	To be of sufficient quantity 화를 낼 ~도 하다
만남	A meeting
만큼	Of that amount
말	words,speaking ~과 글
말	Horse 동물
말씀	Speech
맘	Heart 마음
맛	Flavor
매	whip,rod,cane ~를 맞다
매너	Manner
맨	bare,naked
머리	Head
머리말	A preface
머리카락	Headhair
머리칼	Hair
머릿속	Inside one’s head
먹다	VST + 먹다 , adds no meaning 잊어 ~
먹이	Food
먼지	Dust
멋	Smartness
며느리	Daughter-in-law
며칠	How many days
멸치	Anchovy
몇	A few
몇몇	Several
몇십	In the tens
모금	gulp 한 ~
모기	A mosquito
모두	Everybody, everything
모든	Every one
모래	Sand
모습	shape,body
모임	A group, a party
모퉁이	Corner
목	The neck
목걸이	Necklace
목소리	Voice
목숨	Life
몸	body,physique
몸매	one’s figure
몸무게	Body weight
몸살	Flu aches and pains ~이 걸리다
몸속	In one’s body
몸짓	A gesture
몸통	The trunk,body
못	A nail 벽에 ~을 박다
무	Radish 식물
무게	Weight
무늬	Pattern
무더위	High humidity
무덤	A grave,tomb
무렵	The time when
무릎	A knee
무리	A company, a band ~를 이루다
무슨	What, what kind of
무어	What?  무엇
무엇	That thing,whatever
무지개	A rainbow
물	Water 바닷~
물결	A wave
물고기	Fish
물속	Inside the water
물음	A question
뭐	Huh? (2) something
뭐	Huh? (2) something
뭘	What (implicit directobject)?
뭣	What (thing)?
미역	Brown seaweed
미움	Hatred
믿음	Belief
밀가루	Flour
밑	The bottom
밑바닥	The bottom,base
바	A thing, what
바가지	A gourd dipper
바구니	Basket
바깥	Outside
바깥쪽	The outside
바늘	A needle, pin
바다	Sea
바닥	Floor
바닷가	The beach
바닷물	Sea water
바람	As a result,by the influence of 눈이 오는 ~에
바람	Wind ~이 불다
바람	A wish, hope 소원
바보	Ignorant
바위	A rock, a crag
바지	Pants
바퀴	Wheel 네 ~
바퀴	Cockroach 수레 ~
바탕	Natural disposition ; to go all out in a fight, 아주 크게 싸우다 ; the background
밖	The outside
반죽	Kneading; dough
받침	Support, prop
발	Foot 신체의 일부
발가락	A toe
발걸음	Gait, step
발끝	On tiptoes
발등	The instep of the foot
발목	Ankle
발바닥	The sole of the foot
발자국	Footprint
발톱	A toenail
밤	Night 어두운 때
밤	Chestnut 열매
밤낮	Night and day, always
밤새	All night ~ 안녕하셨습니까
밤하늘	Night sky
밥	Rice, a meal ~을 먹다
밥그릇	A rice bown
밥맛	Appetite
밥솥	Pressure cooker for rice
방울	A drop 물~
방울	A bell ~이 울리다
밭	A field, farm
배	Pear 열매
배	Abdomen 신체의 일부
배	A boat (boating) ~를 띄우다
배꼽	The navel
배추	Chinese cabbage
배추김치	Pickled cabbage
뱀	Snake
뱃사람	A seaman, sailor
버릇	Habit
버섯	Mushroom
번개	Lightning
벌	Set (of clothes) 옷 한 ~
벌	A bee 곤충
벌레	A bug
베개	A pillow
벨트	Belt
벼	A rice plant
별	A star
병아리	Chick, baby chicken
보람	worth,result
보리	Barley
복숭아	Peach
볶음	Roasted sth
볶음밥	Frizzled rice
볼	Cheek 뺨
볼일	business,errand,engagement
봄	Spring
부끄러움	shame,disgrace
부엌	Kitchen
부채	A debt,liabilities
부피	bulk,size
분	One part 한 ~
분	Minutes 10시 20~
불	Fire
불고기	Roast meat
불꽃	flame,blaze,spark
불빛	Fire light
비	Rain ~가 내리다
비누	Soap
비둘기	Pigeon
비바람	Rain and wind
비빔밥	Vegetarian dish of rice and vegetables
빗	A comb ~으로 빗다
빗물	Rainwater
빗방울	Raindrops
빗줄기	Great streaks of rain
빚	Debt
빛	Light
빛깔	A color,shade,hue
빨래	washing,laundry
빵	Bread
뺨	Cheek
뼈	A bone
뿌리	A root
뿐	only,alone,merely
사나이	A man, a male
사냥	Hunting, a hunt
사람	Person
사랑	Love
사슴	Deer
사위	environment,surroundings
사이	space between 2 points; the relationship between 2 people
사이사이	Every now and then
사투리	A dialect
살	Years old 한 ~
살	flesh,muscle ~을 빼다
살림	living,livelihood
삶	Life
상추	Lettuce
새	New
새	A bird 날짐승
새	An interval 사이
새끼	Baby animal 자식~
새벽	dawn,daybreak
새소리	Bird voice,”chirp”
새우	lobster,shrimp
새해	A new year
생각	Thought
서너	About three, three or four
서랍	A drawer
서른	30
서울	Seoul
석	Three (in 3 months) ~ 달
설거지	Dishwashing
설날	New Year’s Day
섬	An island
세로	Length
셈	An intention,design,purpose
소	A cow 동물
소금	Salt
소나기	A sudden rain shower
소나무	A pine tree
소리	A sound,noise
소매	1)a sleeve 2) a retail sale
속	The inside
속마음	Inner heart,feeling
속옷	Underwear
손	The hand 신체의 일부
손가락	a finger
손길	An outstretched hand
손님	Customer
손등	The back of the hand
손목	The wrist
손바닥	The palm
손발	Hand and foot; the limbs
손뼉	The flat of one’s hand
손잡이	A handle,knob
손질	handling,care
손톱	Fingernail
솜	Cotton
솜씨	skill,ability
송아지	A calf,baby cow
송이	A bunch,cluster 꽃 한 ~
쇠	Iron
쇠고기	Beef
쇼	Show
수	way,method 방법
수	way,method 방법
수고	toil,labor,pains
수저	A spoon
수컷	A male of the species
숟가락	A spoon
술	Spoonful 밥 한 ~
술	Alcohol ~을 먹다
술자리	A banquet
술집	Bar of some kind
숨	A breath
숲	Forest
스님	A priest
스승	A teacher,master
슬픔	Sorrow
시골	Countryside
시금치	Spinach
신	joy,delight ~이 나다
신발	shoes,footwear
신세	indebtedness,obligation ~를 망치다
실	Thread (to wind thread) ~을 감다
심부름	Errand
싸구려	cheap,inferior (a bargain)
싸움	A fight
싼값	A low price
쌀	Uncooked rice
쓰레기	Garbage
쓴맛	A bitter flavor
씨	Seeds (sow) ~를 심다
씨름	Wrestling
씨앗	Seeds
아	Oh dear
아가씨	Mis, young lady
아기	baby,infant
아내	Wife
아냐	No, that’s not the case
아뇨	No, nay
아니	No!
아니야	No, that’s not the case
아니요	No, that’s not the case
아드님	Your esteemed son
아들	son,baby
아래	The bottom, the lower part
아래쪽	The lower part, the bottom
아랫사람	Subordinate
아르바이트	Part time 독일어Arbeit
아무	anybody,everybody
아무개	Mr. so-and-so
아무것	Anything
아무런	No sort of
아버님	Father (respectful word)
아버지	Father
아빠	Dad
아쉬움	Sense of missing
아아	Oh-oh!
아유	Good heavens!
아이	Child
아이	Oh my god!
아이고	Oh my god!
아저씨	Sir, calling an unknown male
아주머니	An aunt, a respectable word for a married, older woman
아줌마	Old or married lady
아침	Morning
아픔	Pain
아하	Dear me!  Goodness!
아홉	9
아흔	90
안개	Fog
안쪽	The inside, the inner part
안팎	The interior and exterior, both sides
알	An egg, spawn (fish)
암컷	A female,a she
앞	In front of, before
앞길	The road ahead, outlook 앞에 있는 길
앞날	The futre, the days ahead
앞뒤	Before and behind
앞바다	The offing sea
앞쪽	The front, the fore part
애	Troubles, worries ~가 타다
야	(Word to get somebody’s attention) Hey!! (2) impolite speech for 이다, to be
약	About, approximately 約
약	Get angry,take offense ~이 오르다
양념	Spices and condiments
얘	Sonny, you there 이 아이
얘	Yes.
얘기	Story 이야기
어	Oh, well, why
어깨	Shoulder
어느	Some, a certain
어둠	Darkness
어디	Where?
어때	What do you think? 어떠해
어떤	What kind of, what sort of
어려움	difficulty,hardship
어른	A man, an adult
어린아이	A youngster, a child
어린애	A youngster, a child
어린이	A youngster, a child
어린이날	Children’s Day (may 5th)
어머	Oh my god!
어머니	Mom
어머님	Mother (respectful word)
어젯밤	Last night
어째서	For what reason, why is that 어찌하여서
언니	Older sister
언덕	A hill
얼굴	Face
얼마	How many, how much
얼음	Ice
엄마	Mamma
엉덩이	The buttocks
엉망	A mess, in bad shape 엉망이 되다
엉터리	Fake, sham
에	at/in/on
엔	Yen (japanese) &일en
여간	just, a little.  여간 ~지 않다 means very very ~다
여기	A hobby
여기저기	Here and there
여덟	8
여든	80
여러	many,various
여러분	You (plural, to address a group at speech time)
여럿	many,many people
여름	summer,summertime
여름철	Summertime
여보	Spouse (term of affection)
여보세요	Telephone HELLO
여우	Fox 동물
열	Ten
열매	Fruit
열쇠	Lock
옆	Next to
옆구리	The side, the flank
옆집	The house next door
예	Old days, days gone by ~나 지금이나
예	Yes, certainly, right
예순	60
예전	Old days, former days
옛	Old, ancient
옛날	Ancient times, antiquity
옛날이야기	An old story
오	Oh, ah!
오늘날	These days, nowadays
오래간만	After a long time
오랜	For a long time
오랜만	After a long time
오랫동안	For a long time
오렌지	Orange orange
오른발	The right foot
오른손	The right hand
오른쪽	The right side
오리	Duck 동물
오빠	Older brother (for woman)
오이	Cucumber
오징어	Cuttlefish, squid
옥수수	Corn
온	All, whole, entire
온갖	All kinds, all sorts
온몸	The whole body
올	This year 올해
올	Coming (year, week) 올해
올가을	This fall
올여름	This summer
올해	This year
옷	Clothes
옷차림	Dress, one’s way of dressing
와	Holy cow!
외로움	Loneliness
외아들	The only son
외침	A shout, a cry
왼발	The right foot
왼손	The right hand
왼쪽	The left side
요	Right near at hand ~ 근방
요새	recently,lately
요즈음	Recently, nowadays
요즘	Recently, nowadays
우리	we,our
우리말	Korean (language)
울음	crying,weeping
울음소리	Sound of crying
움직임	movement,motion,activity
웃어른	one’s elders
웃음	Laughter, a smile
웃음소리	The sound of laughing
원	A unit of south korean  money, KRW 화폐 단위
원	Goodness! Gracious!
원숭이	A monkey
웬	What sort of, what kind of
웬일	What cause, what reason
위	The upper part, above ~아래
위아래	Up and down
위쪽	The upper direction
윗몸	The upper body
윗사람	A superior, one’s older somebody
으응	Ugh!
음	Sound you make to express doubt,worry
응	Yes, i see!
이	this,this thing
이	A tooth 신체
이	A person, a man/woman
이거	This thing
이것	This thing
이것저것	This and that, one thing and another
이곳	This place, here
이곳저곳	Everywhere
이날	Today, this day
이놈	That rascal!
이다음	Next
이달	This month
이때	At this time, moment
이래서	This way, this direction, here 이리하여서
이런	Such, like this
이런저런	This and that, one and another
이름	Name
이마	Forehead
이분	Divide into two
이불	Bedding, bed clothes
이빨	A tooth
이슬	Dew, dewdrops
이야기	Conversation, talk
이웃	The neighborhood
이웃집	The neighbor’s house
이제	Now
이쪽	This side, our way
이튿날	The second day after
인제	Now
일	One day 하루
일	Work
일곱	Seven
일손	Work in hand
일쑤	Habitual practice
일자리	A job, position
임금	A king, ruler,sovereign
입	Mouth
입맛	Appetite, taste, palate
입술	The lips
잎	A leaf
자	A ruler ~로 재다
자	Well!!
자네	You
자랑	Pride
자리	seat,spot ~가 없다
자리	A spot at a table ~를 깔다
자장면	Black chinese noodles &중Zhajiangmian
자취	A trace,vestige
작은딸	Younger daughter
작은아들	Younger son
작은아버지	An uncle younger than your father
작은어머니	An aunt younger than your mother
잔디	Lawn
잔디밭	lawn,grass
잔치	banquet,feast
잠	Sleep
잠깐	For a little while
잠옷	Pajamas
잠자리	Dragonfly 곤충
잠자리	Bed ~를 바꾸다
장가	To get married ~가다
장난	A game,playing
장난감	A toy
장마	The rainy spell in the summer
장사	trade,business
장사꾼	A trader,merchant,dealer
장수	A tradesman,merchant 사과 ~
재미	amusement,enjoyment
재주	ability,talent
재채기	sneeze,sneezing
쟤	That kid 저 아이
저	Uh, well,  ... 멀리 있는 대상
저	That 일인칭 대명사
저거	That thing over there
저것	That thing over there
저고리	A coat, korean jacket
저곳	That place over there
저기	That place, there
저기	“hey,look here,now”
저녁	Evening
저녁때	Evening time
저런	Such a, that sort of
저울	A balance
저쪽	Over there, in that direction
저희	We
적	The time,the occasion,when
전기밥솥	Electric rice cooker
절	Bow in salutation ~을 하다
젊은이	Young person
젊음	Youth
접시	A plate,platter
젓가락	A pair of chopsticks
젖	The breasts
제비	A swallow 동물
제자리	The proper/original place
조각	A piece,scrap,fragment 얼음 ~
조개	shellfish,clam 동물
조카	Nephew
졸음	sleepiness,drowsiness
종이	Paper
종이컵	A paper cup -cup
좋아	“That’s good”
주름	Wrinkles
주름살	Wrinkles
주머니	Pocket
주먹	Fist
죽음	Death
줄	way,method 방법
줄	Line, row, chord ~로 감다
줄거리	A stalk, a stem
줄기	A trunk, stem, stalk
줄무늬	A stripe
