정장	正裝; парадная (полная) форма
늦잠꾸러기	соня
벽난로	壁煖爐; печка
껌벅	сверкнуть на миг
분풀이	憤－; ~하다 срывать гнев;
의뢰인	依賴人; клиент (адвоката); доверитель
잔뜩	до отказа; до краёв; полностью; крепко; сильно; очень;
흥분	興奮; волнение; возбуждение; раздражение; ~하다 быть в возбуждении; быть возбуждённым; волноваться; возбуждаться; раздражаться;
헤매다	бродить; шататься; скитаться;
절박	切迫; ~하다 срочный; актуальный; настоятельный; неотложный
사정	事情; обстоятельства; положение дел; обстановка; ситуация; 가정 ~으로 по семейным обстоятельствам; ; 사정 射精; = 토정(吐精)
흥미롭다	Interesting
일지	日誌; ежедневные записи; дневник; ~를 기록하다 вести записи (дневник)
예리	銳利; ~하다 острый; ~한 비판 острая критика
신속하다	迅速; ~히 быстро
멋지다	весьма привлекательный (модный)
서두르다	торопиться; спешить
지켜보다	наблюдать кого; следить за кем-чем
이자	Human, man
협력자	協力; взаимодействие; поддержка; сотрудничество; ~하다 сотрудничать; обьединять усилия; действовать совместно; поддерживать + 자 者; человек;
망설이다	не решаться; колебаться
떨다	дрожать; трястись
시시각각	時時刻刻; ~으로 с часу на час; час от часу; ежечасно и ежеминутно
닥치다	1.наступать; приближаться; 닥치는 대로 без разбора; как попало; 2.нагрянуть; нависнуть (напр.об опасности); 불해이 닥쳤다 Нагрянуло (постигло) несчастье
올리다	поднимать; проводить; устраивать; давать; преподносить; добиваться; вмещать; вписывать; 결혼식을 ~ справлять свадьбу; 기도를 ~ молиться; читать молитву
애처롭다	вызывающий жалость; жалкий
흐트러지다	спутать; запутать; перепутать; смешать;
창백	蒼白; бледность; ~하다 бледный; бескровный; восковой; неяркий; тусклый; ~해지다 бледнеть; тускнеть; меркнуть; ~죽을듯이 ~한 бледный как смерть; 그녀는 나쁜소식을 듣고나서 ~해졌다 Она побледнела, услышав плохую новость.; 그는 병이 난 이후 ~해졌다 Он стал бледным после болезни.; 그녀의 ~함은 그녀가 심한 동요감을 경험했다는 것을 나타내주었다 Её бледность говорила о сильном волнении, которое она испытывала.; 공포감으로 인해 ~해지다 бледнеть от страха (ужаса)
눈동자	－瞳子; зрачок
쫓기다	be pursued[chased] (after); be run[taken] after; be trailed; be hunted (up); be coursed; be hounded.
짐승	животное; (кровожадный) зверь; птица
희다	белый; ясный; чистый; седой
듬성듬성	~하다 редкий; разбросанный
섞이다	быть смешанным (подмешанным; примешанным)
