爱	ài	love
八	bā	eight
爸爸	bàba	Dad
杯子	bēizi	cup; glass
北京	Běijīng	Beijing
本	běn	measure word for books
不客气	bú kèqi	you're welcome; don't be polite
不	bù	no; not
菜	cài	dish (type of food); vegetables
茶	chá	tea
吃	chī	eat
出租车	chūzūchē	taxi; cab
打电话	dǎ diànhuà	make a phone call
大	dà	big; large
的	de	indicates possession, like adding 's to a noun
点	diǎn	a dot; a little; o'clock
电脑	diànnǎo	computer
电视	diànshì	television; TV
电影	diànyǐng	movie; film
东西	dōngxi	things; stuff
都	dōu	all; both
读	dú	to read; to study
对不起	duìbuqǐ	sorry
多	duō	many
多少	duōshao	how much?; how many?
儿子	érzi	son
二	èr	two
饭店	fàndiàn	restaurant; hotel
飞机	fēijī	airplane
分钟	fēnzhōng	minute; (measure word for time)
高兴	gāoxìng	happy; glad
个	ge	general measure word
工作	gōngzuò	work; a job
狗	gǒu	dog
汉语	Hànyǔ	Chinese language
好	hǎo	good
号	hào	number; day of a month
喝	hē	to drink
和	hé	and; with
很	hěn	very; quite
后面	hòumian	back; behind
回	huí	to return; to reply; to go back
会	huì	know how to
几	jǐ	how many; several; a few
家	jiā	family; home
叫	jiào	to be called
今天	jīntiān	today
九	jiǔ	nine
开	kāi	to open; to start; to operate (a vehicle)
看	kàn	see; look at; to watch
看见	kànjiàn	see; catch sight of
块	kuài	lump; piece; sum of money
来	lái	come; arrive; ever since; next
老师	lǎoshī	teacher
了	le	indicates a completed or finished action
冷	lěng	cold
里	lǐ	inside; Chinese mile (~.5 km)
六	liù	six
妈妈	māma	mom; mum
吗	ma	indicates a yes/no question (added to a statement)
买	mǎi	to buy
猫	māo	cat
没关系	méi guānxi	it doesn't matter; never mind
没有	méiyǒu	not have; there is not
米饭	mǐfàn	(cooked) rice
明天	míngtiān	tomorrow
名字	míngzi	name
哪	nǎa	which; how
哪儿	nǎr	where? (Beijing accent)
那	nà	that; then
呢	ne	indicates a question; how about...?;
能	néng	can; be able
你	nǐ	you (singular)
年	nián	year
女儿	nǚ'ér	daughter
朋友	péngyou	friend
漂亮	piàoliang	pretty; beautiful
苹果	píngguǒ	apple
七	qī	seven
钱	qián	money; coin
前面	qiánmiàn	in front
请	qǐng	please; invite; to treat someone to something
去	qù	go; to leave
热	rè	heat; hot
人	rén	person; man; people
