随一	ずいいち	(n) best/greatest/first
諸賢	しょけん	(n) (all of) you or them/various wise individuals/gentlemen
盲動	もうどう	(n,vs) acting blindly
俗悪	ぞくあく	(adj-na,n) worldliness/vulgarity/coarseness
謗る	そしる	(v5r,vt) to slander/to libel/to criticize/to criticise
痛ましい	いたましい	(adj-i) pitiful/heartbreaking/tragical/(P)
不始末	ふしまつ	(n,adj-na) omission/failure/incompleteness/irregularity/mismanagement/misconduct/malpractice/carelessness/wastefulness/extravagance/(P)
しかるべき		(adj-pn,uk) proper/appropriate/due/suitable
辣腕	らつわん	(adj-na,n) shrewdness/tact
一端	いったん	(n) one end/an end/part/fragment
一助	いちじょ	(n) help/assistance
勅許	ちょっきょ	(n) imperial sanction/royal charter/chartered (e.g. chartered accountant)
念入り	ねんいり	(adj-na,n) careful/scrupulous/thorough/conscientious/elaborate/deliberate/attentive/(P)
長身痩躯	ちょうしんそうく	(n) tall and lean figure
目下	もっか	(n-adv,n-t) at present/now/(P)
名誉	めいよ	(adj-na,n) honor/honour/credit/prestige/(P)
しぶしぶ		(adv,adv-to) reluctantly/unwillingly
そびやかす		(v5s) to raise (usu. one's shoulders, with a jaunty, swaggering effect)
身振り手振り	みぶりてぶり	(n) gestures/gesturing
一挙	いっきょ	(n-adv,n) one effort/one action
前置き	まえおき	(n,vs) preface/introduction/(P)
初日	しょにち	(n-adv,n-t) first or opening day/(P)
はしくれ		(n) scrap/piece/fag end/unimportant person
冒頭	ぼうとう	(adv,n,adj-no) beginning/start/outset/(P)
細心	さいしん	(adj-na,n,adj-no) meticulous/careful/discreet/scrupulous/prudent
校正刷り	こうせいずり	(n) galley proofs/proof sheet/printer's proof
抜粋	ばっすい	(n,vs,adj-no) extract/excerpt/selection/(P)
誤字	ごじ	(n) misprint/mispelling/typo/erratum/(P)
丹念	たんねん	(adj-na,n) assiduity/diligence/application
表向き	おもてむき	(n) outward appearance/ostensible/public/official
楢	なら	(n,uk) oak (esp. Quercus serrata)
縦長	たてなが	(adj-na,n,adj-no) oblong/vertical writing style (e.g. on envelopes)/portrait orientation
小机	こづくえ	(n,obsc) small desk
床上	ゆかうえ	(n) on a floor/above floor level
心底	しんそこ	(adv,n) one's innermost depths/completely (from the bottom of one's heart)
高額	こうがく	(adj-na,n,adj-no) large sum (money)
動転	どうてん	(n,vs) being upset/being surprised and stunned/transition/changing/moving
濃厚	のうこう	(adj-na,n) density/richness/concentration/tension/passion/possibility/likelihood/(P)
寸前	すんぜん	(n,suf) on the verge/on the brink/just in front of/just before
滓	かす	(n) dregs/sediment/grounds/meal/by-product/lees (esp. sake)/dregs (e.g. of society)/scum/dross
ちらほら		(adv,on-mim) sporadically/here and there/now and then/in twos and threes/sparsely
芯	しん	(n) wick/marrow/staple (for stapler)/(pencil) lead/stuffing/pith/core/heart/centre/center/(P)
書き物机	かきものづくえ	(n) writing desk
新調	しんちょう	(n,vs) brand new
請け合う	うけあう	(v5u,vt) to assure/to guarantee/to undertake
毛羽	けば	(n) fluff/fuzz/nap/hachures/hatching
大鋸屑	おがくず	(n) sawdust
あぐねる		(v1,uk) to tire of/to lose interest in/to be too much for one/to find unmanageable/to be beyond one's control/to not know what to do with
妙案	みょうあん	(n) ingenious idea/excellent plan/bright idea
窮地	きゅうち	(n) dilemma/predicament
不祥事	ふしょうじ	(n) scandal/deplorable event
表沙汰	おもてざた	(n,vs) going public/creating publicity/recourse to litigation
面白味	おもしろみ	(n) interest/appeal/attraction/fun
細々	こまごま	(adv-to) minutely/in detail/with particular attention/(P)
格子窓	こうしまど	(n) latticed window
苔むす	こけむす	(v5s,vi) to become covered in moss/to be moss-covered/to have moss growing on itself/to become aged (e.g. building, stone)
迫持	せりもち	(n) arch
擦り切れる	すりきれる	(v1,vi) to wear out
流し目	ながしめ	(n) sidelong glance/flirtatious glance
勝手口	かってぐち	(n) kitchen door/back door/service door/tradesman's entrance
念頭	ねんとう	(n) mind/(P)
さなか		(n-adv,n) in the middle of/height of/in course of/midst/(P)
製造者	せいぞうしゃ	(n) manufacturer
刻印	こくいん	(n,vs) carved seal
なまくら		(adj-na,uk) blunt (e.g. sword)/dull/lazy/cowardly/good for nothing
小振り	こぶり	(adj-na,adj-no,n,vs) smallish/on the small side/somewhat small/undersized/small size/short swing of a bat, racquet, etc.
刃物	はもの	(n) edged tool/cutlery
気圧される	けおされる	(v1,vi) to be overawed/to be overpowered/to lose the mental battle
木切れ	きぎれ	(n) a piece of wood (cut from a larger piece)
木片	もくへん	(n) block (of wood)/chip/splinter
空白	くうはく	(adj-na,n,adj-no) blank space/vacuum/space/null (NUL)/(P)
末尾	まつび	(n) end (e.g. of report, document, paragraph, etc.)
研磨面	けんまめん	(n) polished surface/ground surface
角錐	かくすい	(n) pyramid
空洞	くうどう	(n) cave/hollow/cavity
ぎざぎざ		(adj-na,adj-no,n,adv,vs,on-mim) jagged/notched/corrugated/milled/serrated/with jaggies (stair-step artifacts in computer images)/(P)
古風	こふう	(adj-na,n) old customs/old style
鉛製	えんせい	(n,adj-no) leaden/made of lead
蝶番	ちょうつがい	(n) hinge (e.g. on a door)/joint (esp. an anatomical joint)
怪しむ	あやしむ	(v5m,vt) to suspect/(P)
手短	てみじか	(adj-na) short/brief
文武両道	ぶんぶりょうどう	(n) (accomplished in) both the literary and military arts
障害物	しょうがいぶつ	(n) obstacle
逞しい	たくましい	(adj-i,uk) burly/strong/sturdy/indomitable/indefatigable/strong-willed/resolute/bold/robust (vitality, appetite, economic growth, etc.)/strong/(P)
困窮	こんきゅう	(n,vs) poverty/distress
几帳面	きちょうめん	(adj-na,n,vs) methodical/punctual/steady/(P)
厚顔無恥	こうがんむち	(adj-na,n) shameless/brazen and unscrupulous
放蕩	ほうとう	(n,vs,adj-na) dissipation/prodigality/debauchery
放校	ほうこう	(n,vs) expulsion from school
唐突	とうとつ	(adj-na,n) abrupt/sudden
ふっくら		(adv-to,on-mim) fully/luxuriantly/fluffy/plump/soft and full
厄介事	やっかいごと	(n) trouble/difficulty/burden
やらかす		(v5s,vt) to perpetrate/to do/to be guilty of
御仁	ごじん	(n,hon) personage
部類	ぶるい	(n) class/heading/group/category
亜麻色	あまいろ	(n) flaxen
災難	さいなん	(n) calamity/misfortune/disaster/(P)
無口	むくち	(adj-na,n,adj-no) reticence/taciturnity/(P)
素描	そびょう	(n,vs) drawing/sketch/outline/summary/synopsis
あからさま		(adj-na,adj-no,uk,ateji) plain/frank/candid/open/direct/straightforward/unabashed/blatant/flagrant
止めど	とめど	(n) end/termination point
罵詈雑言	ばりぞうごん	(n) vilification/vituperation
業火	ごうか	(n) hell fire
差し迫る	さしせまる	(v5r,vi) to be urgent/to be pressing/to be imminent
難局	なんきょく	(n) difficult situation
端切れ	はぎれ	(n) scrap of cloth/odds and ends
不気味	ぶきみ	(adj-na,n) weird/ominous/eerie/uncanny/ghastly/(P)
文房具屋	ぶんぼうぐや	(n) stationery shop/a stationer
気落ち	きおち	(n,vs) discouraged/dispirited/despondent
真相	しんそう	(n) truth/real situation/(P)
豌豆	えんどう	(n) green peas
うかつ		(adj-na,uk) careless/stupid/thoughtless/heedless/unobservant/inadvertant/incautious
前途	ぜんと	(n) future prospects/outlook/the journey ahead/(P)
身だしなみ	みだしなみ	(n) personal appearance/personal grooming
頃合	ころあい	(n,adj-no) suitable time/good time/propriety/moderation
まっとう		(adj-na,adv,ateji) proper/respectable/decent/honest/(P)
出所	しゅっしょ	(n,vs) birthplace/origin/source/authority
多額	たがく	(adj-na,n,adj-no) large amount of money
一心に	いっしんに	(adv) wholeheartedly/single-mindedly/fervently/intently/(P)
見当	けんとう	(n) aim/mark/estimate/guess/approximation/direction/(P)
権限	けんげん	(n) power/authority/jurisdiction/(P)
物々しい	ものものしい	(adj-i) strict (e.g. security)/heavy (e.g. guard)/showy/pretentious/ostentatious/overdone/exaggerated/impressive/imposing/pompous/stately/solemn
威圧	いあつ	(n,vs) coercion/overpowering/to overpower/to overawe/to daunt
剣幕	けんまく	(n) threatening attitude/menacing look/angry look
おののく		(v5k,vi) to shake (from fear, cold, excitement, etc.)/to shudder/to tremble
後ずさる	あとずさる	(v5r) to retreat/to back off/to draw back/to step back/to shrink away
顔面	がんめん	(n,adj-no) face (of person)
蒼白	そうはく	(adj-na,n,adj-no) pale/pallid
滅相	めっそう	(adj-na,n) extravagant/absurd
慇懃	いんぎん	(adj-na,n) courtesy/intimacy/friendship
不憫	ふびん	(adj-na,n) pity/compassion
引きずる	ひきずる	(v5r,vt) to drag along/to pull/to force someone along/to prolong/to drag out/to influence strongly/to seduce/(P)
足取り	あしどり	(n) gait/manner of walking (swimming)/trace (e.g. of route taken by hunted criminal)
晴れやか	はれやか	(adj-na) clear/bright/sunny
包み隠す	つつみかくす	(v5s,vt) to conceal/to keep secret/to cover up
苦悶	くもん	(n,vs,adj-no) anguish
嗚咽	おえつ	(n,vs) sobbing/weeping/groaning/fit of crying
論外	ろんがい	(adj-na,n,adj-no) out of the question
白昼	はくちゅう	(n-adv,n-t) daytime/midday
背丈	せたけ	(n) stature/height
全容	ぜんよう	(n) full portrait/whole aspect/full story
競技	きょうぎ	(n,vs,adj-no) game/match/contest/(P)
思い当たる	おもいあたる	(v5r,vi) to suddenly understand (esp. on basis of experience or memory)/to come to mind/to recall (in a flash)/to be reminded of/to call to mind/to think of/to strike on/(P)
出来心	できごころ	(n) sudden impulse/passing fancy
屈す	くす	(v5s,vi,arch) to feel down
決す	けっす	(v5s) to decide/to determine
判然	はんぜん	(adj-t,adv-to) clear/distinct/evident/definite
着地	ちゃくち	(n,vs) landing
滑り止め	すべりどめ	(n) tyre chains/anti-skid device/backup measure/taking entrance examination to a university in case one fails at other universities
心変わり	こころがわり	(n) change one's mind/inconstancy/faithlessness
抜け出る	ぬけでる	(v1,vi) to slip out/to steal out/to excel/to stand out
頭脳	ずのう	(n) head/brains/intellect/(P)
父上	ちちうえ	(n,pol) father (esp. used in samurai families prior to the Meiji period)
落ちぶれる	おちぶれる	(v1,vi) to be ruined/to fall low/to go under/to come to ruin
たとい		(adv) even if/if/though/although/(P)
零落	れいらく	(n,vs) falling into straitened circumstances/downfall/ruin
すがる		(v5r,vi) to cling to/to rely on/(P)
諭す	さとす	(v5s,vt) to admonish/to persuade/to warn/to remonstrate
