가수	歌手	Singer
가족	家族	Family
간호사	看護師	Nurse
감기	感氣	A cold
감사	感謝	Thanks, (v) To thank
강	江	River
개	個	Unit or  piece
개월	個月	Each and every month
건강	健康	Health
건강하다	健康-	To be healthy
건물	建物	Building
검은색	-色	Black or  dark
결혼	結婚	Marriage, (v) Get married
결혼식	結婚式	Wedding
경찰	警察	The police
경찰관	警察官	a policeman
경찰서	警察署	A police station
경치	景致	A scene or  scenery
계란	鷄卵	An egg
계속	繼續	Continuously
계절	季節	Season
계획	計劃	A plan or  a project
고등학교	高等學校	A senior high school
고등학생	高等學生	High school student
고향	故鄕	Hometown
공부	工夫	Study, (v) To study
공원	公園	Park
공책	空冊	Notebook for taking notes and studying
공항	空港	Airport
공휴일	公休日	A legal holiday
과	課	A lesson or  a section or  a department
과자	菓子	A snack or  pastries or  candy
교과서	敎科書	Textbook
교수	敎授	Teaching or  instruction
교실	敎室	Classroom
교통	交通	Traffic or  transportation
교회	敎會	Preach or  moral instruction
구	九	num
구십	九十	90
구월	九月	September
군인	軍人	Sb in the military
권	卷	A volume or  a book
그녀	-女	She
극장	劇場	Theater or  playhouse
근처	近處	Nearby or  the vicinity
금요일	金曜日	Friday
급	級	Class or  grade or  rank
기분	氣分	Mood
기숙사	寄宿舍	A hostel or  residence hall
기차	汽車	A train
남녀	男女	Man and woman
남동생	男-	Younger brother
남자	男子	Boy
남쪽	南-	South side
남편	男便	Husband
남학생	男學生	Male student
내년	來年	Next year
내일	來日	Tomorrow
냉면	冷麵	Cold noodles soup
냉장고	冷藏庫	Freezer
년	年	Year
노란색	-色	Yellow
단어	單語	Word
달력	-曆	A calendar
대답	對答	An answer
대답하다	對答-	To answer, reply
대사관	大使館	Embassy
대학	大學	University
대학교	大學校	University
대학생	大學生	University student
대화	對話	Conversation
댁	宅	You and your family
도서관	圖書館	Library
도시	都市	City
도착	到着	Arrival
도착하다	到着-	To arrive
독일	獨逸	Germany
만	萬	10000
매일	每日	Every day
맥주	麥酒	Beer
명	名	Person counter
모자	帽子	A hat
목요일	木曜日	Thursday
목욕	沐浴	A bath
문	門	Door
문제	問題	question,problem
물건	物件	A thing
물론	勿論	Of course
미안하다	未安-	To be sorry
박물관	博物館	Museum
반	半	Half
반	班	Group, company, party
발음	發音	Pronunciation
방	房	A room
방학	放學	School holidays
백	百	One hundred
백화점	百貨店	Department store
번	番	Number, how many times
번호	番號	A number
병	甁	A bottle
병	病	Sickness
병원	病院	Hospital
보통	普通	The normal
복잡하다	複雜-	Be complicated
부모	父母	Parents
부부	夫婦	Man and wife
부인	夫人	A woman
북쪽	北-	The north direction
비행기	飛行機	An airplane
빨간색	-色	deep-red,crimson
사	四	four,the fourth
사과	沙果	An apple
사무실	事務室	Office
사십	四十	40
사용하다	使用-	To use
사월	四月	April
사장	社長	Company boss
사전	辭典	Dictionary
사진	寫眞	Picture
사탕	沙糖	Sugar
산	山	A mountain
산책	散策	A walk,stroll
삼	三	Three
삼십	三十	30
삼월	三月	March
색	色	Color
색깔	色-	Color
생선	生鮮	Raw fish
생일	生日	A birthday
생활	生活	lifestyle,livelihood
서점	書店	A bookstore
서쪽	西-	The west
선물	膳物	A present,gift
선물하다	膳物-	Give a gift
선생	先生	Teacher
설명	說明	Explanation
설명하다	說明-	To explain
설탕	雪糖	Sugar
세	歲	Age in years
세수	洗手	Hand-washing
세탁기	洗濯機	Washing machine
소개하다	紹介-	To introduce,present
소풍	逍風	Picnic
수건	手巾	Handkerchief
수업	授業	school,teaching
수영	水泳	Swimming
수영장	水泳場	Swimming pool
수요일	水曜日	Wednesday
숙제	宿題	Homework
시	市	City
시	時	Time
시간	時間	a Length of time (한시간 동안)
시간	時間	Time
시계	時計	clock, timekeeper, timepiece
시월	十月	October
시작	始作	The beginning
시작되다	始作-	To begin,start
시작하다	始作-	To start,begin
시장	市場	market,fair
시험	試驗	A test
식당	食堂	Restaurant
식사	食事	A meal
식사하다	食事-	To eat a meal
식탁	食卓	Dinner table
신문	新聞	A newspaper
실례	失禮	rudeness,impolite
실례하다	失禮-	To be impolite
십	十	10
십이월	十二月	December
십일월	十一月	November
씨	氏	~ Mr.
안경	眼鏡	Glasses
안녕	安寧	hello/goodbye
안녕하다	安寧-	To say hello
안녕히	安寧-	Peacefully
야구	野球	Baseball
약	藥	Medicine
약국	藥局	Pharmacy
약속	約束	A promise
약속하다	約束-	To make a promise
양말	洋襪	A sock
양복	洋服	Western European style clothing
여권	旅券	A passport
여동생	女同生	Younger sister
여자	女子	woman,female
여학생	女學生	Female student
여행	旅行	Trip
여행하다	旅行-	To travel
역	驛	A railroad station/depot
역사	歷史	History
연습	練習	practice,exercise
연습하다	練習-	To practice,exercise
연필	鉛筆	Pencil
열심히	熱心-	Enthusiastically,with zeal
영국	英國	England
영어	英語	The english language
영화	映畵	A movie
오	五	Five
오십	五十	Fifty
오월	五月	May
오전	午前	Morning
오후	午後	The afternoon
외국	外國	A foreign country
외국어	外國語	A foreign language; sometimes, only means English
외국인	外國人	A foreigner, a foreign national
요리	料理	Cooking
요리하다	料理-	To cook (food)
요일	曜日	A day of the week not the weekend
우산	雨傘	An umbrealla
우유	牛乳	Milk
우체국	郵遞局	A post office
운동	運動	Motion, movement
운동장	運動場	Stadium, playground
운동하다	運動-	To do exercise
운동화	運動靴	Sports shoes
운전	運轉	Driving
운전하다	運轉-	To drive
월	月	A month
월요일	月曜日	Monday
위험	危險	Danger
위험하다	危險-	To be dangerous
유명하다	有名-	To be famous
유월	六月	June
육	六	The number six
육십	六十	Sixty
은행	銀行	A bank
음식	飮食	Food
음악	音樂	Music
의사	醫師	A doctor, a physician
의자	椅子	A chair
이	二	Two
이번	-番	This time
이십	二十	Twenty
이월	二月	February
이해하다	理解-	To understand
인사	人事	Greetings
인사	人士	People, men of society
인사하다	人事-	To greet, say hello
인천	仁川	Incheon city
일	一	One
일본어	日本語	Japanese
일요일	日曜日	Sunday
일월	一月	January
일주일	一週日	One whole day
자동차	自動車	Car
자전거	自轉車	Bicycle
작년	昨年	Last year
잔	盞	A cup, wine glass
잠시	暫時	For a little while
잡지	雜誌	A magazine
장	張	One piece of sth flat
장미	薔薇	A rose
장소	場所	Place
전	前	Before
전화	電話	Telephone
전화번호	電話番號	Telephone number
전화하다	電話-	To call
점심	點心	Lunch
점심시간	點心時間	Lunchtime
