있다	To be
가꾸다	1. выращивать; взрастить; культивировать; разводить 2. украшать; декорировать; отделывать
가다	To go
가라앉다	1. тонуть; затонуть 2. успокаивать; успокоить; умиротворять; униматься
가로막다	мешать; препятствовать; устраивать обструкцию; быть помехой
가르다	1. делить; разделять; разъединять; распределять; раздавать; разбирать; сортировать; классифицировать 2. отличать, различать, выделять, относиться по-разному 3. пробиваться, прокладывать себе путь
가르치다	To teach
가리다	1. выбирать; отбирать; разбирать; перебрать; распределять по сортам; рассортировать
가리다	4. нагромождать, навалить, подваливать, складывать в кучу
장작을 가려 놓다 сложить дрова в кучу
가리키다	указывать; показывать; указать
가만있다	1)оставаться спокойным сидеть 2)без движения быть 3)в состоянии покоя
가져가다	To take or  carry
가져다주다	Take something to someone
가져오다	To bring or  get
가지다	To have or  take or  hold
가지다	Entertain or  hold or  have
갖다	To hold 가지다
갇히다	быть (находиться) в заточении (взаперти)
갈다	1) точить; заострять; править (бритву); 2) молоть; перетирать;  3) make juice in a mixer 문지르다
갈다	1. заменять; менять; 바꾸다
갈아입다	Change one’s clothes
갈아타다	Transfer (bus or subway)
감다	закрывать глаза 눈을 ~
감다	3. обматывать; наматывать; бинтовать; заводить (часы) 실을 ~
감싸다	1. обертывать; завертывать 2. покрывать; брать под защиту
감추다	прятать; скрывать; утаивать
갖추다	иметь; подготавливать; держать; приводить в порядок;
갚다	возвращать (долг); отплачивать; возмещать;
개다	прояснеть; 날이 ~ разводить; убирать постель
거두다	собирать; убирать; приводить в порядок;
거들다	помогать; вмешиваться; вставлять слово
거치다	заходить за что; заезжать за что; преодолевать;
건너다	Go over or  go across
건너가다	To cross or  go over (river or  street)
건너오다	To come across to this side of something
건네주다	To pass over or  to put on the other side (of a river)
건네다 	перевозить (на другой берег); передавать
건네다	Speak to a person or  address; перекидываться (словами; шутками)
건드리다	1) touch or  jog  2) irritate or  vex
건지다	(из воды) вынимать; вытаскивать
걷다	1) Roll back /up one’s sleeves 소매를 ~ 2)fold or  furl up  3) finish work 
걷다	Walk on or  tread on, 느릿느릿 ~
걸어가다	To go on foot or  walk
걸어오다	Come on foot or  walk 집까지 ~
걸다	Hang up or  suspend 옷을 ~
걸리다	To be hung up or  suspended 걸다'의 피동사
걸치다	1) put a thing over or across 2) to range from A to B
겪다	Experience or  undergo or  suffer
견디다	Endure or  bear
계시다	(someone esteemed) to stay or  be located
고르다	выбирать
고치다	To fix, amend, change
구르다	1. катиться 바위가 ~ 2. топать
굳히다	делать твёрдым (прочным); укреплять
굶다	To starve or  go hungry
굽다	To roast or bake 익히다
굽히다	сгибать; гнуть; искривлять; нагибать; уступать
그려지다	Draw
그리다	Picture or  draw a picture 그림을 ~
그만두다	бросить что делать; перестать; оставить
그치다	прекращать(ся); приостанавливать(ся); кончать(ся); переставать; ограничиваться
긁다	царапать, чесать 2) отскребать 3)сгребать, загребать что-либо 4)клеветать на кого-либо, порочить кого-либо
긋다	1)проводить линию (параллель) 2)чиркать (спичкой)
기다	1. ползать; ползти; расползаться 2. пресмыкаться, раболепствовать; низкопоклонничать
기다리다	To wait
기대다	1. опираться; прислоняться; покоиться 2. надеяться на; быть уверенным; полагаться;
기르다	выращивать; выхаживать; откармливать; воспитывать;
기울다	покоситься; наклониться; склониться;
기울이다	склонять; наклонять; сосредотачивать
괴롭히다	мучить
까다	1. очищать; чистить (кожуру); 2. выводить (цыплят); 3. бить; сильно избивать;
까먹다	очищать и есть
깎다	1. строгать; обтачивать; стричь; брить;  2. сбавлять; уменьшать 3. портить; порочить
깔다	подстилать; стелить; давить
깔리다	быть подстеленным (разостланным; расстеленным)
깨다	1. пробуждаться; проснуться; очнуться; прийти в себя; протрезвляться 2. постигнуть; понять; быть просвещённым
깨어나다	Return to consciousness
깨어지다	To waken
깨우다	To wake up or awaken
깨닫다	to realize sth
깨다	1. разбивать; ломать; 2. наносить рану; ранить 3. нарушать; подрывать
깨뜨리다	1. разбивать; ломать 2. нарушать; срывать;
깨지다	откалываться; проламываться; лопаться;
꺼내다	1.извлекать; вынимать; 2. начинать разговор;
꺼지다	1. потухать; гаснуть 2. исчезать 3. проваливаться
