낯선	незнакомый
한때	когда-то; в своё время
닥치다	приблизиться
붙잡다	вцепиться
기꺼이	с удовольствием
마르다	сухой
우물	колодец
돌멩이	камешек
한결같이	неизменно
요령	главная мысль
도무지	совсем; совершенно; вовсе
영문	причина; обстоятельство
영문을 모르다	모르다 не знать, в чём дело
엉터리	вздор
허용	азрешение; позволение
귀를 기울이다	기울이다 внимательно слушать (букв. склонив ухо)
절반	половина
진지	~하다 искренний
골판지	гофрированная бумага
빽빽히	тук-тук, бип-бип
채우다	запирать
연상하게 하다 	하다 навевать ассоциацию
먼지를 털다 	털다 стряхивать пыль
철썩 때리다	때리다 шлепнуть
들판	поле
풀다	выпускать (из закрытого прост-ва)
행방	местонахождение
도토리	желудь
뽑히다	быть избранным
콩쿠르	конкурс
챔피언	чемпион
토성	Сатурн
금성	Венера
대단히	очень
굉장히	очень
신음	呻吟 стон
점거	захват, оккупация
사상	идея мысль
냉수	хол. вода
급탕	подача гор. воды
설비를 갖추다 	갖추다 оборудовать
조그맣다	조그마 маленький
경륜장	спортивный велотрек, 경륜 велогонка
천국	рай
수염을 깎다	 брить бороду/лицо
마음이 내키는 대로	내키는 대로 как душе нравится
실컷	вволю
장거리	длинная дистанция
날이 저물다	저물다 вечереть
기동대	маневренный отряд
진입	вторжение
조화	гармония
환상	фантазия
둘러싸다	окружать что-то
훈훈하다	теплый
전설	легенда
위태롭게	наспех
희미하다	слабый, смутный
고지대	возвышенность
권하다	предлагать что-то кому-то
맥주를 따라다	 налить пиво кому-то
미지근하다	тепловатый
인력	гравитация
뱉다	выплюнуть
쪼가리	кусок, клочок
녀석	парень, чуван
작살나다	раздробиться
지옥	ад
2초를 두다	두다 выдержать 2с (паузы)
과연	вправду, действительно
맞장(를) 구치다 	поддакивать
터득	~하다 понимать; усваивать
엄청나다	огромный, непомерный
좀더	немного
혁명	революция
비축	-하다 запасать что-то
떠오르다	всплывать, приходить в голову
완만하다	медленный, пологий
일렁이다	покачиваться (на волнах)
도 빼놓지 않다 	всё без исключения
따스하다	теплый
라운지	вестибюль
턱을 괴다	괴다 подпирать щеку
잇다	продолжать
참을성있게 	терпеливо
느릿느릿	медленно
마주보다	смотреть друг на друга
담배꽁초	окурок
가득 차다	차다 полный до краев
명암	свет и тьма
선을 긋다	긋다 чертить линию
강의 요강	요강 конспект лекций
품에 안다 	안다 держать подмышкой
뇌수	мозг
틈	трещина, зазор
시종	постоянно
부딪히다	столкнуться 와 - с кем-то, 에 на кого-то
투덜거리다	ворчать, бормотать
아무튼	в любом (никаком с отрицанием) случае
일직선	прямая линия
보잘것없다	ничтожный
잠자코	молча
광선	световой луч
멍하니	рассеянно
고개를 끄덕이다	끄덕이다 кивнут головой
로터리	площадь с колцевым движением
덜 깨다	깨다 быть сонным, не проснуться окончательно
미끄럼대	детская горка
그네	качели
모래밭	песочница
입을 다물다 	다물다 замолчать
따분하다	скучный
성적표	табель успеваемости
줄줄이	в ряд
늘어놓다	разложить расставить
흔히	часто
녹이 슬다	슬다 ржаветь
처량하다	грустный, унылый
코를 찌르다	찌르다 бить в ноздри (запах)
맨	самый (с нареч., прил.)
까마득하다	очень далекий
종달새	жаворонок
노랫소리	песня
하품을 하다	하다 зевнуть
권태롭다	апатичный, скучный (настроение)
반복	повторение
에 지나지 않다	지나지 않다 всего лишь
되풀이	повторение ~하다
소변 보다	보다 мочится
문지르다	тереть что-то о что-то
벅벅	звук царапания, скрежета
느슨하다	нетугой, слабый
느슨하게 하다 	하다 ослабить
덜다	ослабить (боль, страдание)
통증	боль
그다지	не настолько, не так уж
절단하다	разрезать, отрезать
위화감	чувство неконгруэнтности, несоответствия
뒤섞다	перемешивать, перетасовывать
뒤섞이다	быть перемешанным
짜맞추다	собирать из частей
더욱	еще больше
악화되다	ухудшаться
양옆에	по обе стороны
이윽고	спустя некоторое время
주섬주섬	один за одним
커피를 끓이다	끓이다 варить кофе
토스트를 굽다	굽다 жарить тосты
솜씨	умение ловкость
철조망	проволочная сеть
기관총을 쏘다	 стрелять из пулемета
참으로	действительно
숙취	похмелье
대꾸	ответ
마주	앉다 сидеть напротив друг друга
제안	предложение (что-то кому-то)
마음대로	по душе, как нравится
번갈아	по очереди, один за другим
점검	проверка, осмотр
한층	еще больше
가까스로	едва, с трудом
덧붙이다	добавить к чему-то
우체통	почтовый ящик
쥐덫	мышеловка
