dobro jutro	good moming
prosim	please
en čaj	one tea
in	and
mleko	milk
izvoli	Here you are!
hvala	thanks
tukaj	here
in	and
sladkor	sugar
tvoja denarnica	your purse
joj	wow!
najlepša hvala	many thanks
natakar	waiter
oprosti	excuse me
ja	yes
je to	is this
ni za kai	not at all
gospa	Missis
gospod	Mister
gospodična	Miss
Kako ti je ime	what's your(informal) name?
Kako se pišeš?	What's your surname?
Kako se imaš?	How are things(inf)
Kako si?	How are you?
zelo dobro	very well
Ni slabo, hvala	Not bad, thank you
