爱情	àiqíng	(romantic) love
安排	ānpái	arrange; to plan
安全	ānquán	safe; safety; secure; security
按时	ànshí	on time; on schedule
按照	ànzhào	according to; in accordance with; in light of
百分之	bǎifēnzhī	percent
棒	bàng	stick; club; good; excellent
包子	bāozi	steamed stuffed bun
保护	bǎohù	to protect; to defend
保证	bǎozhèng	to guarantee; ensure
报名	bào míng	sign up; apply
抱	bào	to hold; to hug; carry in one's arms; to cradle
抱歉	bàoqiàn	be sorry; feel apologetic; to regret
倍	bèi	(two, three, etc)-fold; times (multiplier)
本来	běnlái	originally; at first
笨	bèn	stupid; foolish; silly; dumb; clumsy
比如	bǐrú	for example; for instance; such as
毕业	bì yè	to graduate; to finish school
遍	biàn	a time; everywhere; turn; (mw for times or turns)
标准	biāozhǔn	(an official) standard; norm; criterion
表格	biǎogé	form (document)
表示	biǎoshì	express; show; indicate
表演	biǎoyǎn	perform; to play
表扬	biǎoyáng	to praise; commend
饼干	bǐnggān	biscuit; cracker; cookie
并且	bìngqiě	and; besides; moreover
博士	bóshì	doctor; PhD
不得不	bù dé bù	have to; have no choice but to; cannot but
不管	bùguǎn	no matter (what, how, etc.); regardless of
不过	búguò	only; merely; but; however
不仅	bùjǐn	not only; not just
部分	bùfen	part; share; section
擦	cā	to wipe; to rub; to polish
猜	cāi	to guess
材料	cáiliào	material
参观	cānguān	to visit (a place, such as a tourist spot); inspect
餐厅	cāntīng	dining hall; cafeteria; restaurant
厕所	cèsuǒ	bathroom; toilet; lavatory
差不多	chàbuduō	almost; about the same
长城	chángchéng	the Great Wall
长江	Chángjiāng	the Yangtze River; the Changjiang River
尝	cháng	to taste; flavor; (past tense marker)
场	chǎng	courtyard; place; field; (mw for games, performances, etc.)
超过	chāoguò	surpass; exceed; outstrip
成功	chénggōng	success; to succeed
成为	chéngwéi	become; turn into
诚实	chéngshí	honest; honorable
乘坐	chéngzuò	ride; get into (a vehicle)
吃惊	chī jīng	be startled; be shocked; be amazed
重新	chóngxīn	again; anew; once more
抽烟	chōuyān	to smoke (a cigarette, pipe, etc.)
出差	chū chāi	go on a business trip
出发	chūfā	start out; set off
出生	chūshēng	be born
出现	chūxiàn	appear; arise; emerge
厨房	chúfáng	kitchen
传真	chuánzhēn	fax; facsimile
窗户	chuānghu	window
词语	cíyǔ	words and expressions; terms
从来	cónglái	always; at all times
粗心	cūxīn	careless; inadvertent; negligent
存	cún	exist; to deposit; to store
错误	cuòwù	error; mistake; mistaken
答案	dá'àn	answer; solution
打扮	dǎban	dress up; put on make up
打扰	dǎrǎo	disturb
打印	dǎyìn	to print
打招呼	dǎzhāohu	notify; greet; inform
打折	dǎzhé	sell at a discount
打针	dǎzhēn	inject; get a shot
大概	dàgài	probably; roughly; approximate
大使馆	dàshǐguǎn	embassy
大约	dàyuē	approximately; about
大夫	dàifu	doctor; physician
戴	dài	put on; to wear; to respect
当	dāng	should; act as; work as; manage; match; (sound of bells)
当时	dāngshí	then; at that time; while
刀	dāo	knife; blade (Kangxi radical 18)
导游	dǎoyóu	tour guide
到处	dàochù	everywhere; in all places; all over
到底	dào dǐ	after all; in the end (used in a question)
倒	dǎo, dào	to collapse; to fall; fail; to exchange | to pour; contrary to expectations
道歉	dàoqiàn	apologize; make an apology
得意	déyì	proud of oneself; complacent
得	de	(complement particle)
登机牌	dēngjīpái	boarding pass
